ISBN,Title,Author,Year,Publisher,Blurb, ** grab this file from https://www.kaggle.com/datasets/jdobrow/57000-books-with-metadata-and-blurbs/ **
0971880107,Wild Animus,Rich Shapero,2004,Too Far,"Newly graduated from college, Sam Altman is gripped by an inexplicable urge to lose himself in the wilderness and teams up with an enigmatic young woman who seems bent on helping him realize his dreams."
0345402871,Airframe,Michael Crichton,1997,Ballantine Books,"Three passengers are dead. Fifty-six are injured. The interior cabin virtually destroyed. But the pilot manages to land the plane. . . .,At a moment when the issue of safety and death in the skies is paramount in the public mind, a lethal midair disaster aboard a commercial twin-jet airliner bound from Hong Kong to Denver triggers a pressured and frantic investigation.,AIRFRAME is nonstop reading: the extraordinary mixture of super suspense and authentic information on a subject of compelling interest that has been a Crichton landmark since The Andromeda Strain.,(back cover)"
0345417623,Timeline,MICHAEL CRICHTON,2000,Ballantine Books,"In an Arizona desert, a man wanders in a daze, speaking words that make no sense. Within twenty-four hours he is dead, his body swiftly cremated by his only known associates. Halfway around the world, archaeologists make a shocking discovery at a medieval site. Suddenly they are swept off to the headquarters of a secretive multinational corporation that has developed an astounding technology. Now this group is about to get a chance not to study the past but to enter it. And with history opened up to the present, the dead awakened to the living, these men and women will soon find themselves fighting for their very survival – six hundred years ago."
0684823802,OUT OF THE SILENT PLANET,C.S. Lewis,1996,Scribner,"Dr. Ransom is abducted by a megalomaniacal physicist and taken via space ship to the planet Malacandra (Mars). There, Dr. Ransom finds Malacandra similar to, and yet distinct from, Earth."
0375759778,Prague : A Novel,ARTHUR PHILLIPS,2003,Random House Trade Paperbacks,"A novel of startling scope and ambition, , depicts an intentionally lost Lost Generation as it follows five American expats who come to Budapest in the early 1990s to seek their fortune. They harbor the vague suspicion that their counterparts in Prague have it better, but still they hope to find adventure, inspiration, a gold rush, or history in the making."
0425163091,Chocolate Jesus,Stephan Jaramillo,1998,Berkley Publishing Group,"The deliciously funny new novel from the acclaimed author of Going Postal.Now, in Chocolate Jesus, Jaramillo introduces Sydney Corbet, a self-proclaimed JFK assassination scholar who has just come up with the idea of a lifetime -- Chocolate Jesus. This semisweet chocolate Messiah offers salvation for many, especially the nearly extinct Bea's Candies, whose Easter promotion just might turn things around for the company. Everyone knows that the Easter Bunny can't compete with the King of Kings. But no one counted on the Reverend Willy Domingo and his vegetarian fitness zealots, who gather on a crusade against a graven image of Christ that consists of nothing more than empty calories...,""Capture(s) the mood and voice of a certain distinctive type of apprentice grown-up"". -- New York Times Book Review,""Enormously entertaining moments, reverberating with a cynical wit underscored...with heartbreaking poignancy and disillusion...haunting, honest"". -- St. Petersburg Times,""A very funny book... Jaramillo deserves credit for a crisp and funny style, a dead-on ear for dialogue, but more impressive, an emotional honesty that's rare and wonderful"". -- Rocky Mountain News"
0375406328,Lying Awake,Mark Salzman,2000,Alfred A. Knopf,"In a Carmelite monastery outside present-day Los Angeles, life goes on in a manner virtually un-changed for centuries. Sister John of the Cross has spent years there in the service of God. And there, she alone experiences visions of such dazzling power and insight that she is looked upon as a spiritual master. ,But Sister John's visions are accompanied by powerful headaches, and when a doctor reveals that they may be dangerous, she faces a devastating choice. For if her spiritual gifts are symptoms of illness rather than grace, will a ""cure"" mean the end of her visions and a soul once again dry and searching?,This is the dilemma at the heart of Mark Salzman's spare, astonishing new novel. With extraordinary dexterity, the author of the best-selling , and , brings to life the mysterious world of the cloister, giving us a brilliantly realized portrait of women today drawn to the rigors of an ancient religious life, and of one woman's trial at the perilous intersection of faith and reason. , is a novel of remarkable empathy and imagination, and Mark Salzman's most provocative work to date."
0446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown &amp; Company,"The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it, To Kill A Mockingbird became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.,Compassionate, dramatic, and deeply moving, To Kill A Mockingbird takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature."
0449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002,Ballantine Books,"Seabiscuit was one of the most electrifying and popular attractions in sports history and the single biggest newsmaker in the world in 1938, receiving more coverage than FDR, Hitler, or Mussolini. But his success was a surprise to the racing establishment, which had written off the crooked-legged racehorse with the sad tail. Three men changed Seabiscuit’s fortunes:,Charles Howard was a onetime bicycle repairman who introduced the automobile to the western United States and became an overnight millionaire. When he needed a trainer for his new racehorses, he hired Tom Smith, a mysterious mustang breaker from the Colorado plains. Smith urged Howard to buy Seabiscuit for a bargain-basement price, then hired as his jockey Red Pollard, a failed boxer who was blind in one eye, half-crippled, and prone to quoting passages from Ralph Waldo Emerson. Over four years, these unlikely partners survived a phenomenal run of bad fortune, conspiracy, and severe injury to transform Seabiscuit from a neurotic, pathologically indolent also-ran into an American sports icon. ,Author Laura Hillenbrand brilliantly re-creates a universal underdog story, one that proves life is a horse race."
0060168013,Pigs in Heaven,Barbara Kingsolver,1993,Harpercollins,"Brings together Taylor, Turtle and Alice from The Bean Trees together with a new cast - Jax, Barbie Sugar Boss, Oklahoma and Annawake Fourkiller. When six-year-old Turtle witnesses a freak accident at the Hoover Dam, her insistence, and her mother's belief in her, leads to a man's rescue."
